,Unnamed: 0,comment
159,159,"Tasyi akan selalu jadi referensi utama gue untuk nyobain sesuatu yang viral, krn gue bukan tipikal yang mau coba-coba, gue akan selalu cobain #1 nya Tasyi, and all I want to say thank you to Tasyi atas reviewnya, jadi gue gak perlu cobain yang ga terbaik, and so far review nya Tasyi memuaskan dan cocok di gue. Sukses terus yaa Tasyi and team!"
160,160,Bedanya kataifi sama kunafa apa ya?
161,161,"ngakak bgtdah liat kak tasyi ngmng😭, apalagi pas ngmng juara dua ""murah banget murah banget""😭"
162,162,"ka tasyi , battle kue maccaron dong"
163,163,MashaAllah salfok cantik banget
164,164,Kak battle bakmie donggg
165,165,battle perkejuan kak
166,166,Gmn seh ka Tasyi.. Knp nomor 4 dibilang tahini mulu pdhl fix dubay coklat satu2nya yg pernah dicoba
167,167,Lebih enak liat mba nya yg ngunyah😅
168,168,Wah makin antri beli di don bakeshop
169,169,Kangeeeen tasyi battle
170,170,Kalo mau skip opening langsung aja ke 3:25 ya guys
171,171,siapa yg bikin subtitle nya😭 “we never no” 😭
172,172,apaan sih jastiper donbakeshop ngambil margin gede banget gilaaaa org dapetnya gak sesusah itu udh 2x beli gue 🙃
173,173,I LOVE U TASYI ❤
174,174,love❤
175,175,"Ka tasyi, battle kecap asin donkkk.."
176,176,Yg by chi keik bisa dibeli dimana ya? Ada yg tau?
177,177,kak battle sushi dong tolong 😊
178,178,"Kak tasyi coba deh cobain buah lontar mau tau reaksi kak tasyi gimana sama rasa buah lontar, pliss kalau setuju like ❤✨🕊️💐💕🤍💗"
179,179,"Lama gak nonton video Tasyi, yang  bikin subtitle masih aja gitu??? Please kalau ketik sub bahasa Inggris, search dulu di Google gitu loh??? Bisa gak sih, ya ampun, tolong banget. Bahasa Inggrisnya Tasyi bener, subnya ambyar. Emang satu tim gak ada yang bisa bahasa Inggris sama sekali, gitu? Buat review tulisan di videonya sebelum release??? GOOGLE TRANSLATE IS FREE."
180,180,"3 studio coklat
2 Chi keik
1 don bakeshop"
181,181,Kak tasyi battle whip cream dong. Biar jadi perbandingan untuk jualan juga
182,182,Sayang banget ga masukin yg punya BECCA......
183,183,"Kak Tasyi, perbanyak konten dgn durasi panjang 😂 pw bgt makan sambil nonton"
184,184,donbake shopp selalu antrii klo di smbb pliss
